PassID;Happiness;Waiting;Switches;InitPickup;TripTime;Denied;
23268;7,32847417722596;7;2;3;11;0;
57420;4,000046699666174;5;1;2;23;0;
63728;7,000024537603208;6;1;4;8;1;
71903;8,196186812357642;8;3;2;24;0;
84673;5,19627521024346;33;3;0;45;7;
6033;7,328577654219282;11;2;3;18;1;
34523;7,328476809122211;4;2;3;14;0;
53290;2,8284730565082374;3;2;0;21;0;
36062;12,69619474052052;10;3;5;15;0;
25057;8,00004051213337;7;4;0;36;0;
23374;5,500040493485988;6;1;3;7;0;
76278;4,328494184243533;7;2;1;21;0;
93276;2,844521623768335E-5;0;0;0;10;0;
38982;7,328465668551868;5;2;3;10;0;
1046;11,00003953004442;14;4;2;28;1;
79517;7,328480225554491;8;2;3;19;0;
89594;8,196194428828079;7;3;2;21;0;
43596;2,5000291734301276;4;1;1;8;0;
88325;2,828486916248945;7;2;0;27;1;
76840;8,196184506286736;12;3;2;35;1;
85446;9,500049047953835;5;4;1;25;0;
821;21,69618140701284;19;3;11;31;1;
75388;7,328473179089981;10;2;3;17;1;
62784;1,5000177887856376;1;0;1;13;0;
29956;8,196206689288795;14;3;2;27;1;
36565;1,000105108157807;1;1;0;9;0;
67235;5,1962134052449445;4;3;0;24;0;
25776;7,328499333105272;9;2;3;16;0;
47078;4,0000562813957234;3;1;2;11;0;
12257;8,196221573042445;9;3;2;24;0;
71315;12,696269699536217;18;3;5;24;2;
12664;11,196177901677414;9;3;4;26;0;
21712;4,500052421173767;3;0;3;3;0;
66372;1,0000230746769034;3;1;0;8;0;
94313;5,196183371165166;8;3;0;23;0;
82678;3,0000617113395696;2;0;2;7;0;
61839;4,50002996695182;3;0;3;3;0;
58909;5,828466122410029;5;2;2;15;0;
68007;5,500019885702733;4;1;3;5;0;
35055;8,196200672053582;22;3;2;40;0;
22594;5,500041144900213;7;1;3;10;0;
80523;2,500059167381332;2;1;1;14;0;
53014;2,5000476114161914;5;1;1;6;0;
99098;7,328457905765118;6;2;3;18;0;
15119;4,328455928716707;2;2;1;17;0;
50630;2,5000532309664596;2;1;1;6;0;
85374;4,500025054240297;3;0;3;12;0;
63002;7,3284617272749735;4;2;3;6;0;
12849;22,328468329746094;16;2;13;16;0;
45001;1,0000364477802943;1;1;0;9;0;
44539;1,0000199433258157;2;1;0;6;0;
76376;9,50008402026924;23;4;1;36;3;
86091;9,500038251805794;8;4;1;23;0;
72358;6,696215788476106;12;3;1;17;0;
38865;1,000040833486726;2;1;0;15;0;
20893;6,696189240370264;3;3;1;18;0;
96462;6,696195116013789;8;3;1;25;0;
49841;9,500028847624185;8;4;1;32;0;
11033;4,5000109536378545;3;0;3;2;0;
60253;2,8284681164332186;6;2;0;17;0;
23258;2,5000450033153987;4;1;1;11;0;
99136;2,500038142836387;3;1;1;8;0;
86598;4,328483477324519;9;2;1;18;1;
51178;2,828450514600528;3;2;0;12;0;
15782;5,196186965809999;11;3;0;20;2;
95882;4,000066502723696;6;1;2;10;0;
57300;4,328489075376206;2;2;1;21;0;
83656;6,696191204842809;5;3;1;17;0;
81374;7,328486928536684;8;2;3;17;0;
51938;5,196203574574032;6;3;0;15;0;
