TaxiID;Line;PassengersLoaded;TotalDistance;NodesHit;LoadAVG;LoadMax;Standstill;
1;2;3796;5535779,309914359;4286;1,5224;8;0;
2;7;3868;5555292,607265581;6001;0,5901;8;0;
3;8;5630;9802994,9829431;10001;0,7497;7;0;
4;1;1925;1,0133026219193425E7;6667;0,1969;5;0;
5;17;5965;7314391,174435176;7143;1,6279;8;0;
6;17;4017;7314702,687718871;7145;1,1033;8;0;
7;17;910;7313267,810946805;7145;0,2427;6;0;
8;17;3221;7312655,804581972;7142;0,8861;8;0;
9;27;4354;4424570,848458213;10001;1,8685;8;0;
10;27;4319;4425516,143241018;10001;1,855;8;0;
11;27;4244;4423823,65327403;10001;1,8299;8;0;
12;27;4270;4425575,473628796;10001;1,8446;8;0;
13;27;4249;4423865,338945828;10001;1,8054;8;0;
14;27;4293;4425505,13591036;10001;1,8432;8;0;
15;27;975;4425442,875117597;10001;0,4189;8;0;
16;27;1233;4425879,3677096665;10001;0,5391;7;0;
17;41;3110;6212623,952262228;10001;1,7101;8;0;
18;41;3234;6215000,378284018;10001;1,7273;8;0;
19;41;3162;6210181,098215033;10001;1,7612;8;0;
20;41;3169;6214920,784739522;10001;1,7427;8;0;
21;41;3124;6210644,540983485;10001;1,7422;8;0;
22;41;3121;6215468,73515625;10001;1,6556;8;0;
23;41;956;6215132,0790745765;10001;0,5047;7;0;
24;41;709;6214207,555878028;10001;0,4065;6;0;
25;47;2339;5723851,71141361;10001;0,5224;5;0;
26;47;2351;5723694,442351066;10001;0,5223;5;0;
27;47;1118;5723446,88164767;10001;0,257;5;0;
28;47;1201;5723761,419772756;10001;0,2692;5;0;
29;36;4266;5291215,790377362;10001;1,2788;8;0;
30;36;4246;5291215,790377362;10001;1,2809;8;0;
31;36;4444;5291215,790377363;10001;1,3638;8;0;
32;36;4543;5291215,79037736;10001;1,4071;8;0;
33;36;2175;5291215,790377363;10001;0,6362;6;0;
34;36;2213;5291215,79037736;10001;0,6609;8;0;
35;24;2006;7063261,355936007;10001;0,2751;5;0;
36;24;1944;7063261,355936007;10001;0,2573;4;0;
37;45;3108;3213622,730766465;10001;1,052;7;0;
38;45;3086;3213809,091139255;10001;1,0522;6;0;
39;45;1428;3213852,2022488248;10001;0,5044;6;0;
40;45;1764;3213479,4815032445;10001;0,5864;5;0;
41;15;3566;6238762,899181835;10001;0,6504;6;0;
42;15;3656;6238762,899181834;10001;0,6717;7;0;
43;15;955;6238762,899181834;10001;0,1775;5;0;
44;15;820;6238762,899181835;10001;0,1495;5;0;
45;22;9114;6838322,705518917;7501;2,1997;8;0;
46;22;8977;6838322,705518918;7501;2,1879;8;0;
47;22;6840;6838322,705518919;7501;1,5928;8;0;
48;22;6483;6838322,705518917;7501;1,5159;8;0;
49;5;1511;7302534,649715828;7501;0,5211;6;0;
50;5;2185;7302534,649715828;7501;0,7588;8;0;
51;5;1580;7302534,649715829;7501;0,5424;7;0;
52;5;914;7302534,649715827;7501;0,3142;8;0;
53;33;4511;7560439,2532931585;9001;2,7554;8;0;
54;33;3136;7560439,2532931585;9001;1,9447;8;0;
55;33;3468;7560439,2532931585;9001;2,3504;8;0;
56;33;3552;7560439,2532931585;9001;2,3543;8;0;
57;33;3219;7560439,2532931585;9001;1,9705;8;0;
58;33;3328;7560439,2532931585;9001;2,0874;8;0;
59;33;3523;7560439,2532931585;9001;2,3098;8;0;
60;33;3293;7560439,2532931585;9001;2,0489;8;0;
61;33;1678;7560439,2532931585;9001;1,0481;8;0;
62;33;3834;7560439,253293158;9001;2,5655;8;0;
63;43;8014;4587076,775461178;10001;3,4603;8;0;
64;43;7895;4587474,278921905;10001;3,3809;8;0;
65;43;7791;4587496,614677919;10001;3,3704;8;0;
66;43;7819;4586686,4382352885;10001;3,3817;8;0;
67;43;7229;4586965,642996514;10001;3,1329;8;0;
68;43;7270;4587208,77009502;10001;3,1795;8;0;
69;42;9413;5734336,013782059;10001;3,6838;8;0;
70;42;9608;5734534,068574771;10001;3,7493;8;0;
71;42;9246;5734441,770070453;10001;3,5962;8;0;
72;42;9324;5734180,058254731;10001;3,6479;8;0;
73;42;8438;5734276,145750859;10001;3,1005;8;0;
74;42;9017;5734997,688216473;10001;3,5036;8;0;
