TaxiID;Line;PassengersLoaded;TotalDistance;NodesHit;LoadAVG;LoadMax;Standstill;
1;16;5092;4567845,2213256415;10001;0,6777;7;0;
2;2;5236;6193066,606595357;10001;0,6961;8;0;
3;19;3515;7191240,871266019;10001;0,7269;7;0;
4;161;19545;1,156512122316146E7;10001;3,8428;8;0;
5;136;2439;6410500,599069783;10001;0,3109;6;0;
6;141;2795;5581536,751977283;10001;1,1724;8;0;
7;141;2899;5581536,7519772835;10001;1,2278;8;0;
8;141;2984;5581536,7519772835;10001;1,2705;8;0;
9;141;2899;5581536,751977284;10001;1,22;8;0;
10;141;1476;5581536,751977283;10001;0,6176;7;0;
11;141;1443;5581536,751977283;10001;0,6119;7;0;
12;11;2895;1,031852722212873E7;10001;0,8681;8;0;
13;11;2875;1,0318092699811324E7;10001;0,8715;8;0;
14;11;1284;1,031818191827468E7;10001;0,3928;7;0;
15;11;1657;1,0319050962909488E7;10001;0,498;8;0;
16;178;2632;6137116,420591146;8890;1,911;8;0;
17;178;2870;6138290,072251066;8889;2,0246;8;0;
18;178;2613;6137718,794910059;8890;1,7441;8;0;
19;178;2890;6138047,332775636;8889;1,8873;8;0;
20;178;2860;6136961,691689766;8890;1,7591;8;0;
21;178;3190;6137815,240876298;8889;1,8755;8;0;
22;178;3828;6136790,443355051;8890;2,4091;8;0;
23;178;3745;6137911,324174868;8889;2,1684;8;0;
24;178;3361;6136790,443702905;8890;1,9854;8;0;
25;178;4260;6137981,348614929;8889;2,56;8;0;
26;178;3937;6136961,69203762;8890;2,6576;8;0;
27;178;4611;6137911,324174867;8889;2,9488;8;0;
28;178;4265;6137718,795257913;8890;2,7546;8;0;
29;178;5059;6137815,240876298;8889;3,8554;8;0;
30;178;4909;6137116,420939;8890;3,4215;8;0;
31;178;5635;6138047,332775637;8889;4,9441;8;0;
32;178;5401;6137102,686969323;8891;4,549;8;0;
33;135;2295;7712255,606266654;8572;0,859;8;0;
34;135;2181;7712749,626117671;8572;0,8516;8;0;
35;135;874;7712370,901270014;8573;0,3401;5;0;
36;135;915;7713403,976694934;8573;0,3526;6;0;
37;131;1780;6757906,176604249;6667;0,704;6;0;
38;131;1921;6757630,689987696;6667;0,7481;6;0;
39;89;4341;9871831,598568968;7779;1,841;8;0;
40;89;3292;9873288,8349046;7779;1,3624;8;0;
41;89;1840;9870462,253270488;7779;0,7555;8;0;
42;89;4361;9872945,708053708;7777;1,8225;8;0;
43;59;4191;8831583,733687699;7001;1,8125;8;0;
44;59;3481;8831583,733687699;7001;1,5351;8;0;
45;59;2834;8831583,733687699;7001;1,2472;8;0;
46;59;3571;8831583,733687699;7001;1,5402;8;0;
47;48;2393;6077631,153418713;8572;0,6849;7;0;
48;48;1708;6077590,825606407;8573;0,5091;6;0;
49;48;928;6078120,257926275;8573;0,2626;5;0;
50;48;1289;6077654,176071745;8572;0,3682;7;0;
51;22;2707;1,009734383914525E7;10001;0,4858;6;0;
52;22;2609;1,0097343839145252E7;10001;0,4595;6;0;
53;22;723;1,009734383914525E7;10001;0,1372;3;0;
54;22;656;1,009734383914525E7;10001;0,1127;3;0;
55;116;2165;7105611,344310209;9069;3,4712;8;0;
56;116;2196;7105685,511890536;9073;3,5547;8;0;
57;116;2249;7105621,622280424;9069;3,5737;8;0;
58;116;2240;7106275,680256207;9073;3,5682;8;0;
59;116;2325;7105550,643239746;9069;3,6795;8;0;
60;116;2320;7104990,23226527;9072;3,6319;8;0;
61;116;2352;7105694,251539663;9069;3,7002;8;0;
62;116;2389;7104836,188697833;9071;3,7177;8;0;
63;116;2397;7105331,461075463;9069;3,7613;8;0;
64;116;2426;7104807,385553318;9071;3,8249;8;0;
65;116;2562;7105384,83204784;9069;4,0314;8;0;
66;116;2577;7106180,506030067;9071;4,0037;8;0;
67;116;2660;7105792,214449012;9069;4,1732;8;0;
68;116;2655;7106765,242205351;9071;4,0872;8;0;
69;116;2787;7105514,068163139;9069;4,5072;8;0;
70;116;2671;7106927,551011602;9071;4,252;8;0;
71;116;3222;7104908,642777714;9069;5,4862;8;0;
72;116;2718;7106772,127636153;9071;4,5262;8;0;
73;116;2744;7106772,290331846;9071;4,5224;8;0;
74;116;2743;7105130,794079611;9070;4,6455;8;0;
75;116;2761;7106927,713707295;9071;4,6877;8;0;
76;116;2775;7104011,837804401;9069;4,8883;8;0;
77;116;2848;7106765,4049010435;9071;4,9916;8;0;
78;116;2800;7104908,950095476;9069;5,0053;8;0;
79;116;2881;7106180,66872576;9071;5,0604;8;0;
80;116;2851;7105514,3754809005;9069;5,1864;8;0;
81;116;3322;7104807,548249012;9071;5,6702;8;0;
82;116;2880;7105792,521766774;9069;5,2836;8;0;
83;116;2886;7106275,680256209;9073;5,2383;8;0;
84;116;3085;7105385,139365603;9069;5,5622;8;0;
85;116;3001;7105685,51189054;9073;5,4979;8;0;
86;116;3235;7105331,768393226;9069;5,8603;8;0;
87;116;3269;7104656,138532016;9073;5,8952;8;0;
88;116;3403;7105694,558857426;9069;6,0872;8;0;
89;116;3578;7105584,601489589;9073;6,2524;8;0;
90;116;3714;7105550,950557509;9069;6,4296;8;0;
91;116;4193;7104584,417929309;9073;6,6725;8;0;
92;116;4184;7105621,929598187;9069;6,8675;8;0;
93;116;4723;7105321,732310117;9073;7,1339;8;0;
94;116;4781;7105611,651627972;9069;7,2214;8;0;
95;54;3878;4854511,989699331;4376;2,7786;8;0;
96;54;1819;4854513,869980952;4376;1,3038;8;0;
97;54;1332;4855237,437944849;4377;0,9583;8;0;
98;54;3745;4853333,37651637;4374;2,6794;8;0;
99;3;1578;5622367,979039355;5385;0,4489;7;0;
100;3;3085;5623160,714498636;5387;0,8708;8;0;
101;3;2519;5620973,843756218;5383;0,7208;8;0;
102;3;923;5623161,087390351;5387;0,2553;7;0;
103;32;3601;4479987,106355716;8334;0,8526;8;0;
104;32;2798;4479389,516349299;8335;0,6639;6;0;
105;32;668;4479425,319223793;8335;0,1611;3;0;
106;32;1405;4480487,905289146;8333;0,3316;5;0;
107;68;1561;8650181,365317943;10001;0,4338;4;0;
108;68;1736;8650181,365317943;10001;0,4654;6;0;
109;171;3512;8085676,291367252;10001;0,7741;7;0;
110;171;3165;8085676,291367253;10001;0,6644;6;0;
111;171;784;8085676,291367253;10001;0,1552;3;0;
112;171;721;8085676,291367252;10001;0,1481;3;0;
113;55;5390;6196664,42463501;4546;2,1558;8;0;
114;55;5290;6196665,099658056;4546;2,1488;8;0;
115;55;2215;6195974,141315846;4546;0,8383;8;0;
116;55;2238;6197355,382977221;4546;0,834;8;0;
117;146;2828;6097711,450643361;4168;1,8173;8;0;
118;146;2478;6095914,776161572;4167;1,583;8;0;
119;146;906;6096410,775005318;4167;0,5851;7;0;
120;146;1503;6095915,18216214;4167;0,9533;8;0;
121;86;2786;8556207,685923003;8335;2,1018;8;0;
122;86;1940;8555139,234526139;8334;1,4815;8;0;
123;86;1788;8557034,60248431;8335;1,4407;8;0;
124;86;2444;8557037,18417543;8333;1,9051;8;0;
125;86;2242;8556719,58636906;8335;1,6589;8;0;
126;86;2128;8554837,089131333;8334;1,611;8;0;
127;86;1409;8554798,217771081;8334;1,1357;8;0;
128;86;1951;8554594,353864973;8334;1,4972;8;0;
129;44;1779;7760801,405813942;8101;4,9977;8;0;
