TaxiID;Line;PassengersLoaded;TotalDistance;NodesHit;LoadAVG;LoadMax;Standstill;
1;54;1886;3564997,1571278875;10001;0,2822;5;0;
2;46;2634;3590582,6193379047;10001;0,3422;5;0;
3;1;3740;5252875,861746202;6001;0,9329;8;0;
4;55;1896;2376639,441052483;10001;0,1906;5;0;
5;26;1823;5333872,650779323;10001;0,2623;4;0;
6;19;1080;5309018,451305587;8045;1,6921;8;0;
7;19;1165;5309430,584855004;8042;2,0268;8;0;
8;19;1114;5308942,083296539;8045;1,9608;8;0;
9;19;895;5309753,67806481;8042;1,4731;8;0;
10;19;1298;5308682,916730217;8045;2,1961;8;0;
11;19;1547;5309550,975044541;8042;2,4615;8;0;
12;19;1032;5308973,269497375;8045;1,6154;8;0;
13;19;2648;5310079,032021178;8042;4,5104;8;0;
14;19;1436;5309147,706072498;8045;2,2044;8;0;
15;19;1291;5309576,195081535;8044;2,0635;8;0;
16;19;1521;5308931,868498082;8045;2,6531;8;0;
17;19;1438;5308764,324246196;8044;2,4472;8;0;
18;19;1807;5309052,665859291;8045;3,0711;8;0;
19;19;1733;5308863,844134711;8044;2,8841;8;0;
20;19;1770;5307699,969338804;8045;3,0778;8;0;
21;19;2068;5308737,769912097;8044;3,4348;8;0;
22;19;2296;5308317,77184769;8045;3,9985;8;0;
23;19;1801;5308191,960834543;8045;3,3553;8;0;
24;19;3279;5307228,490471949;8045;5,5459;8;0;
25;19;2118;5307730,774214916;8045;3,8218;8;0;
26;19;2695;5306894,457645389;8046;4,777;8;0;
27;19;2267;5308114,406282346;8045;4,0971;8;0;
28;19;3022;5306894,504667056;8046;5,1227;8;0;
29;19;2685;5307490,296231837;8045;4,697;8;0;
30;19;2519;5305832,1262262305;8045;4,6811;8;0;
31;19;2837;5308114,406282346;8045;5,0678;8;0;
32;19;2757;5307228,296113098;8045;4,8938;8;0;
33;19;2968;5307730,774214917;8045;5,3333;8;0;
34;19;3082;5308317,57748884;8045;5,4607;8;0;
35;19;3169;5308191,960834543;8045;5,6306;8;0;
36;19;3266;5307699,774979952;8045;5,8741;8;0;
37;19;3513;5307796,329778212;8044;6,144;8;0;
38;19;3614;5309052,471500439;8045;6,2924;8;0;
39;19;3795;5308737,764594922;8044;6,5498;8;0;
40;19;4184;5308931,6741392305;8045;6,7715;8;0;
41;19;4248;5308863,838817537;8044;6,9182;8;0;
42;19;4945;5309147,511713646;8045;7,3277;8;0;
43;19;5022;5308764,318929021;8044;7,3957;8;0;
44;37;1297;4521116,499690299;7693;0,676;8;0;
45;37;2700;4521269,828655184;7694;1,5104;8;0;
46;37;2098;4521220,406130294;7691;1,1256;8;0;
47;37;819;4520008,329952428;7694;0,3549;5;0;
48;37;422;4521686,977287488;7694;0,1902;4;0;
49;37;449;4521460,649097857;7694;0,2054;5;0;
50;4;1232;3981018,978959955;10001;0,583;8;0;
51;4;1331;3981018,9789599534;10001;0,6419;8;0;
52;4;1334;3980617,3824996194;10001;0,6419;8;0;
53;4;1267;3981420,575420289;10001;0,6153;8;0;
54;4;1300;3981118,2469291785;10001;0,6112;8;0;
55;4;1389;3980919,7109907293;10001;0,6679;8;0;
56;4;1390;3980859,418235513;10001;0,7094;8;0;
57;4;1502;3981178,539684395;10001;0,7294;8;0;
58;4;1347;3980820,028912229;10001;0,6404;8;0;
59;4;1626;3981217,9290076797;10001;0,7545;8;0;
60;4;1436;3980503,874404427;10001;0,6638;8;0;
61;4;2290;3981534,083515481;10001;1,0467;8;0;
62;4;2007;3980344,2895448594;10001;0,9285;8;0;
63;4;4269;3981693,668375049;10001;1,9252;8;0;
64;4;3679;3980047,568437555;10001;1,7167;8;0;
65;4;8023;3981990,389482353;10001;4,1456;8;0;
66;4;7617;3980051,991820454;10001;3,8436;8;0;
67;42;2457;4552883,382049242;10001;0,6769;8;0;
68;42;4998;4552883,382049241;10001;1,3906;8;0;
69;42;2649;4552883,382049243;10001;0,7504;8;0;
70;10;2652;4343020,926274088;10001;0,9499;8;0;
71;10;2689;4343009,565680336;10001;0,9914;8;0;
72;10;2635;4342450,261282619;10001;0,9605;8;0;
73;10;2646;4343491,107673177;10001;0,9539;8;0;
74;10;612;4343020,926274089;10001;0,2184;8;0;
