TaxiID;Line;PassengersLoaded;TotalDistance;NodesHit;LoadAVG;LoadMax;Standstill;
1;21;3916;4211058,867071508;10001;0,5849;6;0;
2;8;1996;4353565,096909264;6667;0,2034;5;0;
3;13;3831;7397433,840061163;6001;0,5802;8;0;
4;86;1963;5452688,904731278;10001;0,338;4;0;
5;85;4845;5001217,5711815525;10001;0,9751;6;0;
6;28;3955;5283791,609488976;10001;0,5034;8;0;
7;19;3879;3548471,5653148876;10001;0,5771;6;0;
8;63;2641;5463520,584364836;10001;0,7441;7;0;
9;63;2572;5463520,584364835;10001;0,7397;8;0;
10;63;892;5463520,584364836;10001;0,2645;6;0;
11;63;438;5463520,584364835;10001;0,112;4;0;
12;62;3914;5834468,183594517;10001;1,4686;8;0;
13;62;4122;5834468,1835945165;10001;1,5755;8;0;
14;62;4070;5834468,183594516;10001;1,5562;8;0;
15;62;3989;5834468,183594517;10001;1,5241;8;0;
16;62;2031;5834468,183594516;10001;0,7772;7;0;
17;62;1995;5834468,183594517;10001;0,7415;7;0;
18;7;3871;4680758,927688487;10001;0,6753;7;0;
19;7;3868;4680758,927688487;10001;0,6766;7;0;
20;78;4483;6154236,147903456;10001;2,1625;8;0;
21;78;4412;6153847,9491770705;10001;2,1571;8;0;
22;78;4352;6153657,754409089;10001;2,1208;8;0;
23;78;4321;6153627,519998844;10001;2,0921;8;0;
24;78;3181;6154577,356451477;10001;1,4866;8;0;
25;78;3410;6153936,95550668;10001;1,6721;8;0;
26;10;2951;3054358,6555958935;3334;2,0271;8;0;
27;10;2937;3056337,7638430195;3335;2,0145;8;0;
28;57;2971;8799796,868842393;10001;0,7889;8;0;
29;57;3056;8800373,809197003;10001;0,8273;7;0;
30;57;2384;8801585,858277673;10001;0,6419;6;0;
31;57;2261;8800192,762543181;10001;0,6023;5;0;
32;4;4566;6291175,446699571;5455;1,363;8;0;
33;4;3473;6291176,471201465;5455;1,0119;8;0;
34;4;1742;6291433,229082333;5456;0,5168;8;0;
35;4;3864;6290986,566485022;5453;1,1258;8;0;
36;20;3141;7624157,525228002;7145;0,9347;8;0;
37;20;4764;7622636,907126989;7143;1,4266;8;0;
38;20;2610;7622076,451168555;7142;0,7611;8;0;
39;20;856;7624489,539980535;7145;0,2474;7;0;
40;53;6993;5712113,178036978;10001;3,9767;8;0;
41;53;6896;5712476,964592595;10001;3,8844;8;0;
42;53;6860;5712900,694487401;10001;3,839;8;0;
43;53;6824;5712317,526112056;10001;3,8532;8;0;
44;53;6887;5713202,007468527;10001;3,8826;8;0;
45;53;6895;5713069,840490005;10001;3,8761;8;0;
46;53;6190;5713202,007468527;10001;3,4458;8;0;
47;53;6361;5713069,840490004;10001;3,5369;8;0;
48;34;4646;5820428,38816957;10001;2,8848;8;0;
49;34;4672;5819238,645200661;10001;2,9038;8;0;
50;34;4367;5820576,183680282;10001;2,6894;8;0;
51;34;4534;5821274,21961844;10001;2,8119;8;0;
52;34;4429;5820409,7298061345;10001;2,7601;8;0;
53;34;4455;5820116,65744045;10001;2,7894;8;0;
54;34;2959;5818644,760404465;10001;1,8186;8;0;
55;34;2860;5820214,31919734;10001;1,7987;8;0;
56;83;2577;5836724,9255091315;10001;1,3251;8;0;
57;83;2566;5836173,115555936;10001;1,2487;8;0;
58;83;2616;5836369,906004842;10001;1,3081;8;0;
59;83;2676;5837986,270373287;10001;1,3135;8;0;
60;83;2584;5838071,24659615;10001;1,2753;8;0;
61;83;2616;5836404,903757908;10001;1,2764;8;0;
62;83;2528;5836228,385531108;10001;1,2452;8;0;
63;83;2632;5836685,262981634;10001;1,3388;8;0;
64;83;644;5836214,038375479;10001;0,3029;5;0;
65;83;661;5836960,118179024;10001;0,2919;7;0;
66;80;5780;3729755,4003272546;10001;1,2032;8;0;
67;80;5632;3729755,4003272546;10001;1,1598;8;0;
68;52;1244;5333307,752962658;8891;0,9942;8;0;
69;52;1310;5335889,868543099;8889;0,9622;8;0;
70;52;2104;5333209,29850446;8891;1,6636;8;0;
71;52;762;5335304,463105612;8889;0,6696;8;0;
72;52;753;5332559,2227224875;8891;0,6546;7;0;
73;52;1159;5335073,807966304;8889;0,9459;8;0;
74;52;1992;5333658,491686273;8891;1,6548;8;0;
75;52;1005;5335155,916386302;8889;0,7932;8;0;
76;52;1298;5332559,206725861;8891;0,9515;8;0;
77;52;1619;5335037,106063634;8889;1,2183;8;0;
78;52;747;5333209,203985202;8891;0,633;7;0;
79;52;1787;5335155,916386301;8889;1,3708;8;0;
80;52;1520;5333307,658443399;8891;1,1675;8;0;
81;52;4593;5335073,807966304;8889;3,6187;8;0;
82;52;2991;5333888,671278195;8891;2,3263;8;0;
83;52;7041;5335304,463105612;8889;5,8311;8;0;
84;52;6291;5333380,935482824;8890;5,184;8;0;
85;31;3660;4753090,141218945;10001;1,5875;8;0;
86;31;3729;4753503,69779965;10001;1,6134;8;0;
87;31;3578;4752316,599170539;10001;1,5168;8;0;
88;31;3427;4752133,490894253;10001;1,4761;8;0;
89;31;3631;4753074,421697064;10001;1,5843;8;0;
90;31;3514;4752847,986836285;10001;1,5397;8;0;
91;31;2072;4753074,010594549;10001;0,9323;7;0;
92;31;2108;4753065,983707263;10001;0,9177;8;0;
93;49;5716;6908722,715495899;9287;2,8075;8;0;
94;49;6292;6907774,025371873;9286;3,0986;8;0;
95;49;5519;6908721,978982042;9287;2,7487;8;0;
96;49;5327;6908577,87579246;9287;2,6272;8;0;
97;49;5447;6908088,654963235;9287;2,7191;8;0;
98;49;5242;6908323,7590744505;9287;2,595;8;0;
99;49;4103;6907674,276251405;9285;2,048;8;0;
100;49;2810;6909535,765902023;9287;1,4518;8;0;
101;60;2794;6242928,416730463;10001;2,0951;8;0;
102;60;2829;6241415,894429232;10001;2,2784;8;0;
103;60;2811;6242791,834712704;10001;2,2205;8;0;
104;60;3061;6241140,285889724;10001;2,3042;8;0;
105;60;3414;6242666,80350923;10001;2,566;8;0;
106;60;3269;6241361,735108728;10001;2,5858;8;0;
107;60;3959;6241116,350398289;10001;3,0835;8;0;
108;60;4242;6241518,338198308;10001;3,1352;8;0;
109;60;5085;6240870,450273759;10001;3,8111;8;0;
110;60;5045;6241766,499178265;10001;3,9774;8;0;
111;60;5758;6240504,867362449;10001;4,6449;8;0;
112;60;5913;6241558,715349948;10001;4,5977;8;0;
113;60;6441;6240831,219242237;10001;5,2182;8;0;
114;60;6345;6241344,500706618;10001;5,2575;8;0;
115;60;7154;6241344,500706621;10001;5,9841;8;0;
116;60;7093;6240831,219242234;10001;5,9999;8;0;
117;60;8755;6241558,715349952;10001;6,6739;8;0;
118;60;8730;6240504,867362445;10001;6,6337;8;0;
119;35;3015;9623166,253402246;8334;0,9554;8;0;
120;35;3496;9623141,645422999;8334;1,1083;8;0;
121;35;1418;9621621,948218705;8334;0,4481;7;0;
