PassID;Happiness;Waiting;Switches;InitPickup;TripTime;Denied;
130;25,500012342190324;17;0;17;1;0;
6151;9,595973831724143E-6;0;0;0;7;0;
557;12,000009844518353;8;0;8;1;0;
2487;25,500012439511295;17;0;17;2;0;
9558;22,50000899147377;15;0;15;9;0;
9868;25,500009844518353;17;0;17;1;0;
918;9,000012342190324;6;0;6;1;0;
9956;6,000006537766739;4;0;4;1;0;
6982;13,000022209105696;18;1;8;18;0;
627;16,328450141415548;18;2;9;18;0;
8194;19,00007297863959;17;1;12;8;0;
1141;3,0000095959738315;2;0;2;7;0;
5694;3,0000104094862934;2;0;2;9;0;
3560;9,000012439511297;6;0;6;2;0;
6093;19,500010407846656;13;0;13;10;0;
7620;12,000009415258344;8;0;8;8;0;
1904;4,500012342190323;3;0;3;1;0;
8118;9,000006537766739;6;0;6;1;0;
8728;11,828452698823252;17;2;6;20;0;
8837;13,500009844518353;9;0;9;1;0;
8765;10,50000899147377;7;0;7;9;0;
7593;20,500127712619282;24;1;13;14;0;
1977;21,000009595973832;14;0;14;7;0;
6022;21,000010409486293;14;0;14;9;0;
7446;1,1738936518337542E-5;0;0;0;8;0;
8067;5,500099709026069;16;1;3;15;0;
3518;12,000010407846656;8;0;8;10;0;
8444;4,500010409486293;3;0;3;9;0;
3682;7,500008991473769;5;0;5;9;0;
7306;15,000010409486293;10;0;10;9;0;
805;4,500009415258344;3;0;3;8;0;
1335;18,00000899147377;12;0;12;9;0;
9990;9,000006537766739;6;0;6;1;0;
7745;2,5001824465989717;18;1;1;20;0;
1778;13,000182446598972;25;1;8;20;0;
8308;25,000012338392054;18;1;16;10;0;
1264;4,500010409486293;3;0;3;9;0;
6362;26,828452698823252;27;2;16;20;0;
3713;4,328462928454076;20;2;1;28;0;
8704;19,50000653776674;13;0;13;1;0;
2757;5,500033236342023;6;1;3;5;0;
4843;4,500010407846656;3;0;3;10;0;
4004;4,5000095959738315;3;0;3;7;0;
577;28,500010409486293;19;0;19;9;0;
5836;16,000091223299485;17;1;10;10;0;
6263;20,500020936206425;23;1;13;26;0;
8363;19,500010409486293;13;0;13;9;0;
6593;4,500010409486293;3;0;3;9;0;
1818;9,00000899147377;6;0;6;9;0;
5631;12,000009595973832;8;0;8;7;0;
319;22,500011738936518;15;0;15;8;0;
9312;21,000011738936518;14;0;14;8;0;
1363;17,500033820025763;37;1;11;42;1;
1675;19,500009415258344;13;0;13;8;0;
5358;19,000145957279177;25;1;12;16;0;
6960;24,000009415258344;16;0;16;8;0;
4196;6,000008991473769;4;0;4;9;0;
5283;19,32845525623096;24;2;11;22;0;
863;10,50000899147377;7;0;7;9;0;
9124;13,00008641448926;19;1;8;13;0;
4302;4,000017273748875;8;1;2;14;0;
6493;4,500009415258344;3;0;3;8;0;
1549;13,500011738936518;9;0;9;8;0;
5315;18,000010409486293;12;0;12;9;0;
8094;21,000009415258344;14;0;14;8;0;
6021;10,500009415258344;7;0;7;8;0;
7757;10,500006537766739;7;0;7;1;0;
9626;15,000010409486293;10;0;10;9;0;
5816;15,000009844518353;10;0;10;1;0;
6089;10,500010409486293;7;0;7;9;0;
3996;42,000012342190324;28;0;28;1;1;
2258;13,500010409486293;9;0;9;9;0;
7270;14,828450141415546;17;2;8;18;0;
6937;21,000009595973832;14;0;14;7;0;
1048;9,415258343921675E-6;0;0;0;8;0;
9466;3,000009415258344;2;0;2;8;0;
1406;1,0000241571612596;14;1;0;30;0;
4583;22,32848083030802;46;2;13;42;1;
9543;2,5000271444625177;15;1;1;22;0;
1275;14,500200691258868;28;1;9;22;0;
4485;1,500010407846656;1;0;1;10;0;
3025;1,500010407846656;1;0;1;10;0;
6635;13,500012439511297;9;0;9;2;0;
2599;11,50002415716126;21;1;7;30;0;
8206;12,00000899147377;8;0;8;9;0;
1156;4,000046530878832;7;1;2;7;0;
5535;1,5000104094862936;1;0;1;9;0;
955;5,500012338392054;5;1;3;10;0;
417;13,500012439511297;9;0;9;2;0;
9183;6,000012342190323;4;0;4;1;0;
2198;28,00001771525159;24;1;18;22;0;
5159;18,00000653776674;12;0;12;1;0;
7938;6,000011738936518;4;0;4;8;0;
7368;13,50000899147377;9;0;9;9;0;
8531;9,000006537766739;6;0;6;1;0;
9700;7,000027144462518;18;1;4;22;0;
3316;13,000022209105696;18;1;8;18;0;
8887;28,500012439511295;19;0;19;2;0;
3844;4,000109467959383;11;1;2;12;0;
9382;6,000012439511297;4;0;4;2;0;
484;13,00008641448926;19;1;8;13;0;
4292;22,50000653776674;15;0;15;1;0;
3808;19,50000653776674;13;0;13;1;0;
264;34,500012342190324;23;0;23;1;1;
7945;21,000009595973832;14;0;14;7;0;
5112;22,500012342190324;15;0;15;1;0;
833;4,328462928454076;20;2;1;28;0;
2375;43,500012342190324;29;0;29;1;1;
3290;13,500006537766739;9;0;9;1;0;
7087;16,50000653776674;11;0;11;1;0;
7285;16,50000899147377;11;0;11;9;0;
6852;4,5000095959738315;3;0;3;7;0;
7115;18,000010409486293;12;0;12;9;0;
5297;11,500027144462518;21;1;7;22;0;
3392;22,000027144462518;28;1;14;22;0;
8657;10,50000899147377;7;0;7;9;0;
2307;1,5000094152583439;1;0;1;8;0;
3206;1,0407846656058854E-5;0;0;0;10;0;
1354;4,000091223299486;9;1;2;10;0;
9133;20,500036489319793;14;1;13;4;0;
5715;18,000010409486293;12;0;12;9;0;
7074;7,5000095959738315;5;0;5;7;0;
5288;15,000006537766739;10;0;10;1;0;
5629;53,500017273748874;41;1;35;14;1;
8700;3,0000117389365184;2;0;2;8;0;
3866;19,500009595973832;13;0;13;7;0;
9240;1,0000547339796915;3;1;0;6;0;
6573;4,500010407846656;3;0;3;10;0;
7217;11,500200691258868;26;1;7;22;0;
1709;9,000006537766739;6;0;6;1;0;
4426;19,500009595973832;13;0;13;7;0;
7480;7,500008991473769;5;0;5;9;0;
6631;19,500012439511295;13;0;13;2;0;
4326;16,00002415716126;24;1;10;30;0;
9794;16,500009844518353;11;0;11;1;0;
4954;19,500012342190324;13;0;13;1;0;
9016;15,000010407846656;10;0;10;10;0;
9413;10,50000899147377;7;0;7;9;0;
4723;19,500009415258344;13;0;13;8;0;
2902;7,500012342190323;5;0;5;1;0;
1956;15,000011738936518;10;0;10;8;0;
5271;23,500109467959383;24;1;15;12;0;
5027;15,00000899147377;10;0;10;9;0;
9254;6,000008991473769;4;0;4;9;0;
1143;22,50000653776674;15;0;15;1;0;
8823;7,328473158084902;30;2;3;36;0;
6007;28,500010407846656;19;0;19;10;0;
6210;19,000027378116094;30;1;12;34;0;
963;4,500010407846656;3;0;3;10;0;
3011;22,500012439511295;15;0;15;2;0;
5869;27,000012342190324;18;0;18;1;0;
9228;15,000011738936518;10;0;10;8;0;
7724;5,500126298099687;20;1;3;19;0;
7754;16,500009844518353;11;0;11;1;0;
9757;28,500010407846656;19;0;19;10;0;
9695;22,328470600677196;38;2;13;34;0;
9195;18,000009595973832;12;0;12;7;0;
8115;6,0000095959738315;4;0;4;7;0;
1419;25,500009415258344;17;0;17;8;0;
2100;24,000010407846656;16;0;16;10;0;
6081;14,50032840387815;42;1;9;36;1;
6747;16,500011738936518;11;0;11;8;0;
8018;7,5000095959738315;5;0;5;7;0;
3064;3,0000098445183516;2;0;2;1;0;
