TaxiID;Line;PassengersLoaded;TotalDistance;NodesHit;LoadAVG;LoadMax;Standstill;
66;-1;771;5769792,060481388;9411;7,3151;8;0;
54;-1;810;5749898,177423927;9427;7,4363;8;6;
8;-1;813;5727052,778172632;9487;7,2711;8;7;
10;-1;832;5824470,407175355;9357;7,4414;8;12;
22;-1;816;5704838,466814566;9459;7,4547;8;0;
47;-1;802;5758789,524461319;9329;7,5051;8;4;
38;-1;762;5865835,693383195;9407;7,6294;8;2;
52;-1;777;5711285,798178554;9404;7,5455;8;1;
64;-1;816;5863459,918545832;9454;7,5782;8;7;
45;-1;809;5866482,67318762;9459;7,2654;8;4;
49;-1;845;5761007,654858685;9499;7,417;8;9;
50;-1;843;5808375,501083594;9444;7,5115;8;2;
53;-1;862;5697147,026739387;9541;7,2339;8;7;
55;-1;801;5681287,144136341;9469;7,4267;8;7;
67;-1;833;5856188,227425731;9495;7,336;8;7;
9;-1;800;5761113,549389014;9433;7,2538;8;19;
71;-1;814;5778479,472097491;9468;7,5151;8;1;
18;-1;861;5655162,541148129;9399;7,1913;8;3;
42;-1;791;5785446,466375632;9399;7,3737;8;8;
3;-1;765;5826987,562046579;9447;7,0162;8;6;
5;-1;805;5790489,407753253;9430;7,6087;8;1;
23;-1;770;5830121,012124699;9424;7,504;8;8;
51;-1;802;5813419,037267966;9458;7,4532;8;2;
12;-1;799;5755081,9671838945;9451;7,083;8;23;
44;-1;826;5707862,214838266;9484;7,0608;8;8;
33;-1;771;5783196,763414224;9436;7,6698;8;4;
32;-1;785;5756464,165376464;9467;7,2218;8;5;
35;-1;797;5821457,617145043;9435;7,4182;8;18;
36;-1;888;5712737,746167523;9448;7,1837;8;14;
58;-1;783;5803306,439939342;9464;7,5147;8;4;
34;-1;820;5827145,244282535;9394;7,2528;8;4;
65;-1;820;5745493,448983342;9494;7,1976;8;3;
15;-1;699;5808595,531219408;9418;7,609;8;2;
28;-1;902;5742459,41128811;9465;7,2055;8;5;
26;-1;775;5867745,204586995;9440;7,3457;8;1;
37;-1;825;5740041,969208657;9395;7,3789;8;3;
19;-1;802;5720845,812704109;9408;7,351;8;9;
16;-1;775;5795955,313332113;9432;7,5163;8;5;
72;-1;784;5845193,183055207;9428;7,4276;8;20;
20;-1;773;5809853,761707814;9413;7,394;8;2;
40;-1;815;5766063,9504401;9448;7,5512;8;3;
17;-1;747;5837108,542660135;9470;7,113;8;14;
11;-1;776;5735399,39351198;9434;7,5562;8;25;
70;-1;843;5743450,212919154;9413;7,1573;8;3;
21;-1;783;5799109,129334434;9403;7,4234;8;2;
30;-1;791;5776135,614328881;9461;7,4014;8;5;
46;-1;828;5659688,073814453;9429;7,5092;8;12;
1;-1;806;5707550,44797742;9421;7,4921;8;1;
24;-1;797;5809361,599457565;9447;7,4797;8;9;
60;-1;784;5783386,728973302;9432;7,5621;8;5;
27;-1;829;5640452,843517755;9469;7,3558;8;11;
74;-1;821;5768240,774937038;9422;7,446;8;6;
43;-1;789;5807548,820392896;9377;7,5244;8;10;
73;-1;826;5677120,223399816;9389;7,0288;8;6;
7;-1;788;5742242,992873717;9448;7,4098;8;3;
4;-1;751;5824643,199112008;9419;7,6152;8;5;
29;-1;811;5838967,174331288;9435;7,2794;8;3;
63;-1;798;5749605,395517506;9480;7,3139;8;4;
2;-1;735;5801502,826420514;9361;7,5592;8;2;
13;-1;748;5785208,018756312;9451;7,3118;8;10;
68;-1;812;5710661,091164319;9373;7,3985;8;59;
31;-1;770;5777893,192858155;9476;7,4622;8;14;
69;-1;779;5743146,204184096;9445;7,4849;8;2;
6;-1;790;5795776,4765648255;9453;7,3538;8;13;
41;-1;765;5755374,852068455;9436;7,5937;8;17;
14;-1;801;5766198,056927552;9432;7,3695;8;6;
61;-1;851;5806089,503836025;9510;7,2699;8;6;
62;-1;780;5831360,770191944;9412;7,4321;8;4;
39;-1;709;5861313,327516727;9421;7,3569;8;6;
56;-1;751;5830519,59113095;9468;7,5408;8;8;
59;-1;791;5776183,352461194;9478;7,5181;8;9;
25;-1;865;5762632,661381656;9429;7,197;8;7;
57;-1;785;5770412,952961609;9460;7,2158;8;8;
48;-1;757;5728784,17277719;9444;7,5567;8;9;
