PassID;Happiness;Waiting;Switches;InitPickup;TripTime;Denied;
19704;333,0002476494725;222;0;222;655;0;
47484;7288,500012181005;4859;0;4859;34;4;
63525;7047,00011645196;4698;0;4698;317;2;
48708;7288,50041882411;4859;0;4859;1115;6;
66422;420,0000294280102;280;0;280;102;0;
80739;2866,5000346626093;1911;0;1911;99;2;
151660;7327,500013685231;4885;0;4885;48;10;
204083;3435,000076045287;2290;0;2290;261;7;
59194;3306,0002492093836;2204;0;2204;719;4;
98551;6940,500049621724;4627;0;4627;133;9;
132381;4108,500027786699;2739;0;2739;78;3;
27042;2949,0001588660602;1966;0;1966;499;4;
97989;7033,500070230746;4689;0;4689;186;2;
130108;976,5000848073555;651;0;651;245;3;
38856;22,500219402527215;15;0;15;656;0;
99911;7389,000139360975;4926;0;4926;422;11;
137728;3436,500012510672;2291;0;2291;42;3;
17409;2730,0000790061913;1820;0;1820;245;3;
28099;4963,500094213013;3309;0;3309;260;5;
48851;300,0000156431558;200;0;200;45;0;
61427;250,50004550564557;167;0;167;144;0;
13915;334,50006056539087;223;0;223;175;0;
115426;2680,5001592784483;1787;0;1787;474;2;
97444;10078,500012974435;6719;0;6719;35;7;
26269;5581,500162271573;3721;0;3721;443;6;
64890;960,0001596665694;640;0;640;428;2;
65015;7438,5000717929715;4959;0;4959;210;9;
48710;61,5000142163129;41;0;41;41;0;
611;1,5000117159179664;1;0;1;38;0;
208319;4222,500051428386;2815;0;2815;171;6;
59233;5511,00019522916;3674;0;3674;746;7;
106517;2289,0000905579855;1526;0;1526;241;3;
34532;5203,500111310699;3469;0;3469;406;6;
63974;3028,500017322907;2019;0;2019;50;6;
36563;10783,500061465016;7189;0;7189;186;15;
61033;10666,50007009683;7111;0;7111;193;10;
18436;255,00013460775173;170;0;170;417;0;
26849;324,00022506992536;216;0;216;608;0;
121296;931,5001068438764;621;0;621;355;2;
143410;1129,5001826939429;753;0;753;598;11;
126618;1684,5001303402566;1123;0;1123;386;1;
3446;76,50005673429757;51;0;51;151;0;
224886;2572,5000262032577;1715;0;1715;95;2;
43330;2103,0000865575275;1402;0;1402;308;12;
157239;2325,0000129995583;1550;0;1550;42;4;
95815;3301,500085865556;2201;0;2201;248;13;
65046;1068,0000448097744;712;0;712;123;2;
26411;9406,500083621993;6271;0;6271;247;15;
145959;3106,500160452318;2071;0;2071;557;2;
19147;9790,50001744151;6527;0;6527;48;63;
215165;1810,5000162664246;1207;0;1207;58;3;
48514;7336,500220597794;4891;0;4891;588;4;
79966;3261,0003231398937;2174;0;2174;875;5;
114391;25,500065915449966;17;0;17;184;0;
31340;40,50004892275754;27;0;27;144;0;
