TaxiID;Line;PassengersLoaded;TotalDistance;NodesHit;LoadAVG;LoadMax;Standstill;
80;-1;255;6932713,344825007;7171;7,654;8;17;
364;-1;251;6700258,460599661;6978;7,3299;8;234;
218;-1;241;6342313,019351574;6620;6,9882;8;649;
122;-1;226;6816950,123612532;7145;7,6141;8;21;
204;-1;249;6407390,089179863;6749;7,2343;8;1;
93;-1;270;6901515,336290941;7176;7,5041;8;33;
77;-1;206;5444247,025928356;5600;5,4536;8;2208;
201;-1;242;6037655,548104188;6203;6,0038;8;1427;
353;-1;199;4977212,309855031;5090;5,1799;8;2838;
55;-1;174;4317703,754696807;4508;4,4394;8;3701;
36;-1;178;4053432,022299461;4218;4,1876;8;4194;
273;-1;189;4937371,743423038;5132;5,1801;8;2763;
173;-1;200;5509881,156860589;5821;5,6847;8;2028;
171;-1;136;3788627,576242004;3963;3,8385;8;4504;
252;-1;119;2896454,5471569174;3065;2,7943;8;5741;
155;-1;130;3500100,5493427035;3568;3,4479;8;4987;
113;-1;96;2450380,535912552;2488;2,2507;8;6487;
51;-1;106;2424279,8957150495;2515;2,2101;8;6565;
254;-1;74;1757559,3250394606;1802;1,2116;8;7507;
96;-1;37;785918,4091115841;812;0,4673;8;8804;
123;-1;4;200495,6516530957;217;0,0172;1;9708;
116;-1;1;32826,7644877462;36;0,0036;1;9952;
211;-1;1;32343,958003969576;41;0,0036;1;9947;
230;-1;1;38117,26097121315;47;0,0038;1;9938;
226;-1;1;44333,75603312449;46;0,0046;1;9929;
283;-1;0;0,0;1;0,0;0;10000;
89;-1;0;0,0;1;0,0;0;10000;
313;-1;1;33056,840374266045;38;0,0033;1;9949;
58;-1;0;0,0;1;0,0;0;10000;
355;-1;1;24382,18746520894;24;0,0033;1;9958;
11;-1;1;21691,811758333497;28;0,004;1;9959;
225;-1;0;0,0;1;0,0;0;10000;
94;-1;0;0,0;1;0,0;0;10000;
65;-1;0;0,0;1;0,0;0;10000;
371;-1;1;24909,396748204465;31;0,0037;1;9961;
356;-1;1;23832,577044076712;31;0,0043;1;9956;
265;-1;0;0,0;1;0,0;0;10000;
60;-1;0;0,0;1;0,0;0;10000;
304;-1;0;0,0;1;0,0;0;10000;
229;-1;0;0,0;1;0,0;0;10000;
336;-1;1;28701,218165607945;36;0,0038;1;9957;
112;-1;0;0,0;1;0,0;0;10000;
12;-1;1;31098,78520653936;35;0,0035;1;9953;
233;-1;0;0,0;1;0,0;0;10000;
329;-1;0;0,0;1;0,0;0;10000;
133;-1;0;0,0;1;0,0;0;10000;
348;-1;0;0,0;1;0,0;0;10000;
362;-1;1;25396,48570581689;29;0,0038;1;9961;
249;-1;0;0,0;1;0,0;0;10000;
326;-1;0;0,0;1;0,0;0;10000;
367;-1;0;0,0;1;0,0;0;10000;
202;-1;0;0,0;1;0,0;0;10000;
297;-1;0;0,0;1;0,0;0;10000;
6;-1;2;30812,893469465274;35;0,009;2;9949;
165;-1;0;0,0;1;0,0;0;10000;
248;-1;0;0,0;1;0,0;0;10000;
264;-1;0;0,0;1;0,0;0;10000;
298;-1;0;0,0;1;0,0;0;10000;
242;-1;0;0,0;1;0,0;0;10000;
127;-1;0;0,0;1;0,0;0;10000;
19;-1;1;31823,038212954663;37;0,0045;1;9951;
154;-1;0;0,0;1;0,0;0;10000;
217;-1;0;0,0;1;0,0;0;10000;
284;-1;0;0,0;1;0,0;0;10000;
350;-1;0;0,0;1;0,0;0;10000;
21;-1;0;0,0;1;0,0;0;10000;
120;-1;0;0,0;1;0,0;0;10000;
197;-1;0;0,0;1;0,0;0;10000;
246;-1;0;0,0;1;0,0;0;10000;
354;-1;0;0,0;1;0,0;0;10000;
31;-1;0;0,0;1;0,0;0;10000;
132;-1;0;0,0;1;0,0;0;10000;
271;-1;0;0,0;1;0,0;0;10000;
276;-1;0;0,0;1;0,0;0;10000;
40;-1;0;0,0;1;0,0;0;10000;
181;-1;0;0,0;1;0,0;0;10000;
84;-1;0;0,0;1;0,0;0;10000;
151;-1;0;0,0;1;0,0;0;10000;
266;-1;0;0,0;1;0,0;0;10000;
346;-1;0;0,0;1;0,0;0;10000;
185;-1;0;0,0;1;0,0;0;10000;
153;-1;0;0,0;1;0,0;0;10000;
32;-1;0;0,0;1;0,0;0;10000;
109;-1;0;0,0;1;0,0;0;10000;
296;-1;0;0,0;1;0,0;0;10000;
317;-1;0;0,0;1;0,0;0;10000;
47;-1;0;0,0;1;0,0;0;10000;
134;-1;0;0,0;1;0,0;0;10000;
68;-1;0;0,0;1;0,0;0;10000;
25;-1;0;0,0;1;0,0;0;10000;
124;-1;0;0,0;1;0,0;0;10000;
126;-1;0;0,0;1;0,0;0;10000;
140;-1;0;0,0;1;0,0;0;10000;
62;-1;0;0,0;1;0,0;0;10000;
261;-1;0;0,0;1;0,0;0;10000;
30;-1;0;0,0;1;0,0;0;10000;
323;-1;0;0,0;1;0,0;0;10000;
357;-1;0;0,0;1;0,0;0;10000;
10;-1;0;0,0;1;0,0;0;10000;
200;-1;0;0,0;1;0,0;0;10000;
237;-1;0;0,0;1;0,0;0;10000;
289;-1;0;0,0;1;0,0;0;10000;
