PassID;Happiness;Waiting;Switches;InitPickup;TripTime;Denied;
142670;349,50005594193044;233;0;233;85;2;
25067;7011,000097304963;4674;0;4674;126;7;
76186;3426,000020488397;2284;0;2284;26;3;
530;1,4909819265231931E-5;0;0;0;19;0;
135130;1183,5001426037816;789;0;789;249;10;
18318;235,50001639377746;157;0;157;26;0;
67613;549,0001017005685;366;0;366;165;3;
80342;5388,000068446082;3592;0;3592;102;34;
2639;10,500013893565532;7;0;7;20;0;
98272;1,5002126658688175;1;0;1;311;0;
158180;90,00010264612708;60;0;60;164;0;
79346;286,50012885400434;191;0;191;171;1;
104116;214,50002037986414;143;0;143;31;0;
36698;1,5001528562977802;1;0;1;202;0;
123880;1161,0000404875725;774;0;774;58;1;
87293;1015,500046586459;677;0;677;69;4;
107652;1272,0002924210232;848;0;848;381;3;
82873;4812,000218762971;3208;0;3208;276;1;
68816;1231,5000611341309;821;0;821;80;1;
59122;3,0000308732013328;2;0;2;51;0;
155237;136,50003034472573;91;0;91;39;0;
47143;700,5000714190868;467;0;467;99;2;
97277;1300,5000640199394;867;0;867;86;3;
137742;310,5000493214432;207;0;207;69;0;
118415;3339,000063675798;2226;0;2226;81;7;
127182;3,0000191892998513;2;0;2;27;0;
56716;4137,000179414405;2758;0;2758;230;6;
6306;325,5000610802746;217;0;217;77;0;
106392;2737,500017308185;1825;0;1825;23;45;
30408;4398,000090912458;2932;0;2932;120;8;
46112;1423,5000148443596;949;0;949;20;2;
931;1,4537807277775655E-5;0;0;0;24;0;
4717;9,00001886091917;6;0;6;27;0;
118979;2092,5000153492383;1395;0;1395;21;2;
35214;723,0000232611669;482;0;482;38;4;
63660;2890,500068101859;1927;0;1927;94;6;
105007;1111,5000328633287;741;0;741;44;3;
78100;3564,0001232930363;2376;0;2376;168;9;
114262;1351,500123557301;901;0;901;163;4;
141203;112,50002800565822;75;0;75;43;0;
136728;69,00011233107193;46;0;46;144;0;
43821;82,50014747428996;55;0;55;260;0;
49991;255,00009054220226;170;0;170;143;0;
15302;595,5001131040322;397;0;397;196;1;
78491;600,0000421558785;400;0;400;70;0;
100714;3394,5000658603326;2263;0;2263;83;11;
141355;33,000025917350015;22;0;22;38;0;
69737;997,500012848454;665;0;665;21;2;
74093;579,0000758252419;386;0;386;119;5;
157;1,6468831289409503E-5;0;0;0;20;0;
28420;1800,0000956485521;1200;0;1200;149;4;
511;3,00001489741757;2;0;2;23;0;
150834;531,0000890133709;354;0;354;155;0;
17200;45,000023428365964;30;0;30;34;0;
68469;886,5000930980264;591;0;591;146;1;
84503;4450,500020037365;2967;0;2967;34;7;
129466;504,00011883694265;336;0;336;207;0;
153753;6,000066396544861;4;0;4;112;0;
20642;580,5000368373389;387;0;387;58;2;
9824;745,5000172009258;497;0;497;23;1;
159439;747,0000125778852;498;0;498;16;1;
64235;1402,500032529415;935;0;935;43;3;
101647;3256,500033861011;2171;0;2171;52;8;
23916;22,500053892031673;15;0;15;71;0;
8735;81,00001473335692;54;0;54;25;0;
58157;382,5000124960047;255;0;255;17;0;
148561;268,500014657726;179;0;179;22;0;
5253;9,000015793543705;6;0;6;23;0;
22546;6,000118471102071;4;0;4;163;0;
152298;276,00008290250946;184;0;184;117;0;
6889;3,0000232947966636;2;0;2;36;0;
10079;22,50001685627858;15;0;15;23;0;
53375;2419,5000354321837;1613;0;1613;54;6;
124706;1,5001950165290663;1;0;1;268;0;
147287;22,500016426713337;15;0;15;25;0;
89122;712,5000828570898;475;0;475;114;5;
43720;99,00013821944994;66;0;66;177;0;
60874;2101,5001685555594;1401;0;1401;229;1;
58584;541,5000371423863;361;0;361;59;3;
51877;1686,0000869656433;1124;0;1124;120;8;
25104;30,000066242366053;20;0;20;89;1;
54928;5227,500080544285;3485;0;3485;143;8;
11286;12,000026479884564;8;0;8;36;0;
47843;630,0000472706063;420;0;420;71;1;
63830;250,5000212456743;167;0;167;33;2;
81469;261,0000740935221;174;0;174;95;0;
21347;177,00006497781405;118;0;118;88;0;
34184;193,50001625724306;129;0;129;23;0;
62799;1698,0004682884469;1132;0;1132;719;5;
116060;336,000026698725;224;0;224;42;3;
25864;4,500082637458301;3;0;3;114;0;
67458;5064,000041668651;3376;0;3376;62;7;
144882;274,500025212622;183;0;183;35;0;
46797;4095,0001968452834;2730;0;2730;305;10;
62280;1219,5000633251823;813;0;813;90;3;
89832;3342,000098152529;2228;0;2228;153;20;
38168;3,0001580296672827;2;0;2;211;0;
135916;319,50008784072844;213;0;213;117;0;
112828;430,50008494498456;287;0;287;108;3;
86094;2466,0001220229315;1644;0;1644;160;10;
32806;2313,000089808312;1542;0;1542;116;5;
26261;3306,000023796568;2204;0;2204;43;4;
47481;64,50005590333801;43;0;43;87;0;
9290;85,50002601203884;57;0;57;39;0;
142440;469,5000632233157;313;0;313;81;0;
28343;6762,000114626868;4508;0;4508;156;45;
26154;840,0000415729971;560;0;560;55;1;
2017;19,500015162150497;13;0;13;22;0;
28464;150,0000151646009;100;0;100;20;0;
155220;424,50021173162435;283;0;283;310;2;
74407;1209,0001232913478;806;0;806;229;3;
83382;2548,5000999902145;1699;0;1699;128;4;
24041;337,5000360575676;225;0;225;48;1;
107751;1276,5000529040997;851;0;851;73;2;
67399;265,50001559246186;177;0;177;21;1;
90341;61,5000149274925;41;0;41;21;0;
84861;201,0000517745338;134;0;134;69;0;
110053;160,50009135010026;107;0;107;128;0;
15707;36,000062506025316;24;0;24;100;0;
123305;175,50004768556767;117;0;117;64;0;
84305;84,0001113122258;56;0;56;148;0;
94753;75,00008608469444;50;0;50;111;0;
85980;6741,000181899598;4494;0;4494;246;46;
22739;108,00004919675337;72;0;72;63;0;
126170;834,0000394652021;556;0;556;59;4;
120783;1516,5000459651885;1011;0;1011;72;7;
