TaxiID;Line;PassengersLoaded;TotalDistance;NodesHit;LoadAVG;LoadMax;Standstill;
20;-1;462;6672185,849424519;8978;7,4867;8;46;
41;-1;502;6516558,502775562;8917;7,3375;8;163;
26;-1;500;6444417,617545446;8787;7,3705;8;107;
49;-1;510;6623677,520018948;9054;7,4103;8;68;
71;-1;549;6507413,83675432;8856;7,3849;8;127;
111;-1;520;6490904,334388638;8792;7,2672;8;136;
48;-1;548;6558968,199140098;8864;7,3531;8;77;
80;-1;502;6567900,483928861;8785;7,142;8;121;
28;-1;504;6551819,846730512;8735;6,8976;8;236;
91;-1;492;6431150,2059664475;8629;6,5275;8;345;
8;-1;440;5870954,1526564;7830;6,1185;8;1197;
13;-1;408;5432311,545133178;7303;5,8209;8;1785;
39;-1;422;5119153,126382633;6785;5,409;8;2331;
1;-1;393;4812121,459097609;6445;5,0572;8;2856;
110;-1;336;4533167,069931494;6025;4,9167;8;3228;
43;-1;370;4243790,496214079;5661;3,8454;8;3693;
95;-1;323;3195932,7964565707;4232;3,0084;8;5235;
128;-1;222;2925847,4094877443;3800;2,341;8;5716;
2;-1;150;1910788,485976018;2497;1,1391;8;7175;
76;-1;48;696446,4208624273;889;0,2811;8;8981;
108;-1;9;134628,0375516408;176;0,0189;2;9809;
102;-1;9;108270,84989045215;141;0,0173;2;9838;
114;-1;7;113239,97209584026;143;0,0147;1;9842;
106;-1;6;95133,00128856345;124;0,0121;1;9868;
123;-1;5;73040,99233448559;89;0,0124;2;9901;
52;-1;6;93495,44167788919;118;0,0138;2;9875;
15;-1;4;54573,44902872262;71;0,0072;1;9918;
29;-1;2;32146,383612460522;45;0,0044;2;9954;
105;-1;5;63154,07508370127;82;0,0101;2;9913;
97;-1;2;49001,17377898335;63;0,005;1;9934;
101;-1;0;0,0;1;0,0;0;10000;
93;-1;3;45423,07909603;61;0,0066;1;9932;
32;-1;5;57454,92691854149;79;0,0094;2;9916;
55;-1;4;58597,53842578242;80;0,0081;1;9909;
86;-1;5;74168,83771062494;97;0,0102;1;9895;
94;-1;4;52213,936269580016;74;0,0095;2;9921;
51;-1;3;38805,753107745324;49;0,0055;1;9941;
104;-1;4;58901,03032140643;81;0,0087;2;9908;
125;-1;1;16484,671016789416;21;0,0021;1;9979;
98;-1;1;27177,02006148671;34;0,0021;1;9963;
116;-1;2;22372,905702047352;27;0,0028;1;9970;
73;-1;0;0,0;1;0,0;0;10000;
67;-1;2;25113,813221010503;34;0,0033;1;9967;
38;-1;1;20492,31686995228;28;0,0022;1;9972;
87;-1;4;61893,169549307444;81;0,0083;1;9908;
70;-1;0;0,0;1;0,0;0;10000;
18;-1;4;45038,98764889596;66;0,008;1;9915;
60;-1;1;12459,347512692791;19;0,0017;1;9982;
74;-1;0;0,0;1;0,0;0;10000;
6;-1;0;0,0;1;0,0;0;10000;
77;-1;0;0,0;1;0,0;0;10000;
19;-1;0;0,0;1;0,0;0;10000;
23;-1;2;26009,175518567972;34;0,0037;1;9963;
79;-1;0;0,0;1;0,0;0;10000;
31;-1;2;23376,906236580686;29;0,0029;1;9968;
44;-1;2;36857,78139704045;48;0,0049;1;9949;
81;-1;1;15740,389834620411;19;0,0024;1;9976;
61;-1;1;12572,866764772922;23;0,002;1;9978;
46;-1;6;63367,415282371396;77;0,0121;3;9914;
50;-1;3;29494,918266543857;44;0,0062;2;9955;
58;-1;2;32720,040958515652;40;0,0039;1;9959;
99;-1;3;44169,69592431167;56;0,0057;1;9941;
89;-1;0;0,0;1;0,0;0;10000;
3;-1;1;15204,163449259191;19;0,0018;1;9981;
53;-1;2;22942,65610593683;35;0,0037;1;9962;
22;-1;0;0,0;1;0,0;0;10000;
36;-1;2;34839,08517942234;44;0,0043;1;9955;
24;-1;0;0,0;1;0,0;0;10000;
85;-1;3;15033,099493216987;23;0,0054;3;9977;
12;-1;0;0,0;1;0,0;0;10000;
66;-1;2;27008,48927270034;37;0,0037;1;9962;
10;-1;2;30608,905174214215;34;0,0034;1;9965;
118;-1;2;31397,420289797963;42;0,0041;1;9957;
120;-1;1;19069,08855777505;23;0,0019;1;9974;
30;-1;0;0,0;1;0,0;0;10000;
82;-1;3;29375,50167267287;34;0,0085;3;9964;
115;-1;1;19449,734870968456;28;0,0022;1;9969;
65;-1;1;11405,826068009817;20;0,0019;1;9981;
127;-1;2;18613,030454406962;28;0,0043;1;9957;
84;-1;2;30832,795067234976;40;0,0038;1;9958;
75;-1;0;0,0;1;0,0;0;10000;
126;-1;4;22196,226583904896;28;0,0086;4;9970;
9;-1;2;25733,872096718955;35;0,0036;1;9962;
54;-1;0;0,0;1;0,0;0;10000;
25;-1;0;0,0;1;0,0;0;10000;
90;-1;0;0,0;1;0,0;0;10000;
103;-1;2;26670,16894395073;34;0,0041;1;9959;
117;-1;0;0,0;1;0,0;0;10000;
7;-1;2;27127,14221475398;35;0,0034;1;9962;
45;-1;3;43182,82525465453;59;0,0083;2;9930;
122;-1;3;33468,47782333508;49;0,0071;2;9942;
72;-1;2;26129,169446923905;41;0,004;1;9960;
16;-1;0;0,0;1;0,0;0;10000;
109;-1;4;35731,12435352237;48;0,0096;3;9944;
34;-1;1;11756,931540176993;18;0,0019;1;9981;
63;-1;1;17134,39500803475;22;0,0023;1;9977;
64;-1;2;20965,272159533233;31;0,0036;1;9961;
112;-1;0;0,0;1;0,0;0;10000;
121;-1;0;0,0;1;0,0;0;10000;
57;-1;1;16986,410344357413;22;0,0021;1;9977;
69;-1;2;27791,20322538217;40;0,0039;1;9959;
88;-1;3;39262,74428096635;55;0,0074;2;9940;
5;-1;0;0,0;1;0,0;0;10000;
107;-1;0;0,0;1;0,0;0;10000;
47;-1;0;0,0;1;0,0;0;10000;
37;-1;0;0,0;1;0,0;0;10000;
83;-1;0;0,0;1;0,0;0;10000;
78;-1;0;0,0;1;0,0;0;10000;
40;-1;0;0,0;1;0,0;0;10000;
14;-1;0;0,0;1;0,0;0;10000;
33;-1;2;26286,957694768284;37;0,004;1;9960;
92;-1;0;0,0;1;0,0;0;10000;
113;-1;0;0,0;1;0,0;0;10000;
68;-1;0;0,0;1;0,0;0;10000;
42;-1;1;12822,88529724558;22;0,002;1;9979;
27;-1;1;13760,802118797139;20;0,002;1;9979;
11;-1;1;6715,782383858261;12;0,0019;1;9981;
56;-1;0;0,0;1;0,0;0;10000;
96;-1;0;0,0;1;0,0;0;10000;
124;-1;1;15118,727864129363;19;0,0019;1;9981;
4;-1;1;11058,435515991965;16;0,0019;1;9980;
119;-1;0;0,0;1;0,0;0;10000;
17;-1;1;13068,307478744668;17;0,0019;1;9980;
35;-1;1;13068,6553834142;19;0,002;1;9980;
21;-1;0;0,0;1;0,0;0;10000;
62;-1;1;14716,191206396372;22;0,0021;1;9977;
59;-1;1;13213,381224744619;18;0,0018;1;9981;
100;-1;0;0,0;1;0,0;0;10000;
