PassID;Happiness;Waiting;Switches;InitPickup;TripTime;Denied;
8711;4,500009870713643;3;0;3;8;0;
9754;4,56116497429707E-5;0;0;0;5;0;
8233;3,00001176907293;2;0;2;10;0;
3263;18,000009595973832;12;0;12;7;0;
2064;25,500009595973832;17;0;17;7;0;
4423;18,000009870713644;12;0;12;8;0;
5290;6,000014806070464;4;0;4;12;0;
8338;6,000006537766739;4;0;4;1;0;
1216;22,500010407846656;15;0;15;10;0;
4023;9,000012342190324;6;0;6;1;0;
9956;12,00000899147377;8;0;8;9;0;
7121;3,0000233045078772;2;0;2;17;0;
4180;4,500014065742384;3;0;3;11;0;
6731;7,500132945368092;5;0;5;20;0;
1237;4,500009844518352;3;0;3;1;0;
2018;1,7332426902328865E-4;0;0;0;19;0;
4399;10,500017608404777;7;0;7;12;0;
7315;12,000024879022593;8;0;8;4;0;
4891;3,000008991473769;2;0;2;9;0;
5334;9,844518351829886E-6;0;0;0;1;0;
2730;18,000019662362998;12;0;12;17;0;
2518;19,500020543138906;13;0;13;14;0;
6916;7,500012439511297;5;0;5;2;0;
1346;4,500014806070464;3;0;3;12;0;
2547;10,500014122887515;7;0;7;12;0;
3213;10,500009415258344;7;0;7;8;0;
8366;39,00001662315009;26;0;26;13;0;
8848;2,824577503176502E-5;0;0;0;24;0;
6993;37,50001150833468;25;0;25;9;0;
2303;4,50001507938745;3;0;3;11;0;
4548;9,000023304507877;6;0;6;17;0;
7636;19,500009844518353;13;0;13;1;0;
2334;24,000024879022593;16;0;16;4;0;
5014;10,500012439511297;7;0;7;2;0;
2580;1,500012342190323;1;0;1;1;0;
6486;9,844518351829886E-6;0;0;0;1;0;
3498;40,50000987071364;27;0;27;8;0;
7708;28,500010409486293;19;0;19;9;0;
1646;22,50001329453681;15;0;15;2;0;
9545;30,00009951609037;20;0;20;16;0;
2100;9,595973831724143E-6;0;0;0;7;0;
96;10,500173324269023;7;0;7;19;0;
7510;4,500006537766739;3;0;3;1;0;
8731;12,000013294536808;8;0;8;2;0;
995;3,000010989579051;2;0;2;11;0;
8462;31,500009595973832;21;0;21;7;0;
4519;3,70265709692876E-5;0;0;0;3;0;
8598;18,000016104774172;12;0;12;20;0;
6801;24,000009595973832;16;0;16;7;0;
3134;15,000009595973832;10;0;10;7;0;
883;36,00001040784666;24;0;24;10;0;
1873;3,0000104094862934;2;0;2;9;1;
7474;39,00001040784666;26;0;26;10;0;
2787;22,500009844518353;15;0;15;1;0;
9692;6,000013294536809;4;0;4;2;0;
4595;34,50001329453681;23;0;23;2;0;
4660;16,500012338392054;11;0;11;10;0;
5650;9,00001272270547;6;0;6;11;0;
398;15,000010407846656;10;0;10;10;0;
8210;19,500034271335114;13;0;13;25;0;
5117;18,000012342190324;12;0;12;1;0;
7372;25,500037318533888;17;0;17;6;0;
5280;25,500012342190324;17;0;17;1;0;
5829;3,0000129876843333;2;0;2;13;0;
4281;19,500093061757664;13;0;13;14;0;
8465;3,000027366989846;2;0;2;3;0;
8218;1,500099516090371;1;0;1;16;0;
7820;16,500012489415987;11;0;11;12;0;
3307;1,1769072929902093E-5;0;0;0;10;0;
7422;6,537766738662418E-6;0;0;0;1;0;
2568;15,000099516090371;10;0;10;16;0;
3546;10,500009844518353;7;0;7;1;0;
6619;13,500009595973832;9;0;9;7;0;
9431;25,500012987684332;17;0;17;13;0;
5314;1,5000098445183518;1;0;1;1;0;
4546;22,500009595973832;15;0;15;7;0;
